time,cpu,mem,disk_read,disk_write,net_sent,net_recv,rps,p95,p99,gc_triggered
1770607117.360491,19.1,51.7,0.0,1234333.108409291,0.0,0.0,0.0,1209.4049453735352,1209.4049453735352,False
1770607118.363517,14.1,51.7,1037245.2868355473,1004576.1439430891,13271.839300061136,0.0,0.0,1209.4049453735352,1209.4049453735352,False
1770607119.36724,7.1,51.7,0.0,1807797.7387479427,0.0,1020.2018841692678,0.0,1209.4049453735352,1209.4049453735352,False
1770607120.399626,0.0,51.7,0.0,0.0,0.0,0.0,3.877295361888182,1209.4049453735352,1209.4049453735352,False
1770607121.416131,25.2,52.8,24176.959216198968,5310872.0411583735,28206.452418898796,28206.452418898796,30.474494747729533,1145.1098918914795,1209.4049453735352,True
1770607122.447793,26.1,52.6,20004.687029062443,1308306.5317006838,43010.07711248426,65015.23284445294,26.171362648089808,1163.4528636932373,1466.4256572723389,True
1770607123.4937332,28.5,52.6,0.0,4370938.090374453,64076.5793353323,83528.3980621296,47.803881977419145,1288.2280349731445,1688.075065612793,True
1770607124.8433862,27.4,52.8,0.0,2579296.411238437,35150.18605541103,36362.26143663211,31.86004093021284,1407.9039096832275,2066.9219493865967,True
1770607126.1344929,26.5,52.3,0.0,2408183.6619380177,45224.10632747451,65009.65284574461,39.50099551381698,1605.376958847046,2563.2498264312744,True
1770607127.404757,28.1,52.3,9673.578532825664,1718672.4526653595,72551.83899619248,92705.12760624594,36.212940471189825,2563.2498264312744,3556.8339824676514,True
1770607128.7078059,20.8,52.0,0.0,5466367.592349155,83300.023690197,109233.04993337156,46.045856255636615,3345.0822830200195,3681.2098026275635,True
1770607130.215086,21.3,51.7,2717.477640192781,1733750.7344429942,30571.623452168787,32609.731682313373,31.845441096009154,3342.090129852295,3910.601854324341,True
1770607131.806868,23.7,51.7,0.0,3978060.2924131444,38070.758339078115,42746.11462633332,50.25813542531339,3498.4869956970215,4665.584325790405,True
1770607133.426118,25.3,52.8,12647.83218628352,2420795.0804546657,30987.188856394623,29722.40563776627,30.260926617572874,3417.250871658325,4665.584325790405,True
1770607134.8609369,31.4,52.6,0.0,2006865.001062966,29974.512818152405,29974.512818152405,38.33236153735078,3706.7880630493164,4887.867212295532,True
1770607137.074964,26.8,52.3,1850.0224668525245,3818446.371583611,38387.966187189886,36537.94372033736,53.74821131724864,3796.10013961792,4899.949073791504,True
1770607138.9235651,30.7,52.3,0.0,3347967.2767308583,34897.73964825349,33789.874897515285,40.03026931378283,3788.3009910583496,4889.522075653076,True
1770607140.513154,30.2,52.3,0.0,4983467.170023364,36074.73649448143,34142.16132513421,45.92382401118067,3800.225019454956,4887.867212295532,True
1770607142.099168,29.0,52.4,0.0,4955961.1955542695,43258.129247281926,41321.19808695587,51.70193852432833,3925.9629249572754,4845.2308177948,True
1770607143.7820349,30.9,52.4,0.0,5437426.144539563,33466.70075533527,31032.758882219976,38.62456585754248,3810.8060359954834,4845.2308177948,True
1770607145.6945589,43.8,52.4,0.0,0.0,0.0,0.0,58.88041957330232,3974.907159805298,4899.949073791504,False
1770607147.7277598,20.0,52.4,0.0,0.0,0.0,0.0,52.87322635218145,3987.956762313843,4889.522075653076,False
1770607149.196154,33.3,52.5,0.0,0.0,26383.48360464402,26383.48360464402,55.618199584120326,3987.956762313843,4887.867212295532,False
1770607150.7351391,27.2,52.5,0.0,4521878.989636979,46576.1520415816,43914.65763920551,53.87257714504951,3969.9978828430176,4845.2308177948,True
1770607152.006896,31.4,52.6,0.0,3974879.9615160776,34144.40725235967,30612.22719177074,41.67463178191028,3961.594820022583,4844.472169876099,True
1770607153.3138618,27.4,52.6,0.0,8162194.283954775,193722.96560019246,90404.05061342314,51.376325494758646,3942.9521560668945,4844.472169876099,True
1770607154.552858,28.8,52.7,0.0,8109377.134560272,75209.26612769923,141327.3022839183,57.957606877149814,3937.619209289551,4769.263029098511,True
1770607155.9797912,30.8,52.6,0.0,3897231.7952105324,68836.9746436643,106659.48818413919,46.95384972174561,3969.9978828430176,5037.360906600952,True
1770607157.606251,28.8,52.7,0.0,4660397.564900922,47712.12830644933,56177.18332856131,49.186581913719515,4057.6698780059814,5199.188947677612,True
1770607159.330373,29.6,52.8,0.0,2520133.7518651863,43045.76284241778,41089.137258671515,44.97106685068689,4126.051187515259,5461.013078689575,True
1770607161.1947808,0.0,52.7,0.0,0.0,109826.04894264454,109826.04894264454,46.24891951833799,4126.051187515259,5464.749097824097,False
1770607163.09945,27.7,52.8,0.0,4832183.767202978,36020.95153566973,34408.07310869944,48.06704842841855,4402.029991149902,5556.319952011108,True
1770607164.955553,31.8,52.9,9190.30505518772,3590345.841560003,39058.79648454781,38292.93772994883,44.17858410853609,4406.235694885254,5469.264030456543,True
1770607166.450305,28.6,52.9,0.0,5409660.427722336,63673.02763326666,63673.02763326666,47.58863539515879,4455.432891845703,5464.749097824097,True
1770607168.6166122,28.6,53.0,0.0,0.0,108106.6046464799,108106.6046464799,40.642635877689976,4419.903993606567,5464.749097824097,False
1770607170.719064,29.4,53.1,1948.2016174959363,4005502.5255716452,40425.18356304068,37015.830732422786,43.562175020216074,4402.029991149902,5461.013078689575,True
1770607172.215542,26.8,53.0,0.0,6172039.808187206,48898.2027057085,45276.11361639676,64.15062220752232,4378.009080886841,5440.5341148376465,True
1770607174.037942,27.8,53.0,0.0,4922575.679769216,57620.09482233557,82487.71469302777,42.80070578394047,4319.282293319702,5430.400133132935,True
1770607175.223823,25.5,53.0,0.0,7424649.181089181,62240.911540427194,60857.78017286214,57.34132859504305,4299.040079116821,5419.413089752197,True
1770607177.137182,25.3,53.0,14593.884015115573,773475.8528011254,67496.71356990952,83914.83308691454,57.69111746880872,4394.509077072144,5556.711912155151,False
1770607178.7190888,57.1,53.0,0.0,30173110.02866088,109322.86242268435,218645.7248453687,45.92592354234096,4352.291107177734,5556.711912155151,False
1770607180.567987,26.3,53.0,2215.3734917324546,4725391.657865326,48738.216818114,47630.53007224778,52.737367413006304,4352.291107177734,5668.107748031616,True
1770607183.0138319,31.3,53.3,0.0,3273526.267094504,32083.409276128463,30046.367417326655,42.521093827754754,4319.282293319702,5708.025932312012,True
1770607184.774803,27.1,53.4,0.0,4146754.9228524216,41773.8910965657,38988.965023461315,56.78685001776322,4343.4388637542725,5668.107748031616,True
1770607186.890592,28.3,53.1,0.0,3431905.638452575,38733.62888173129,36611.23825807478,46.79105138083016,4319.282293319702,5620.673179626465,True
1770607188.533945,51.7,53.3,0.0,4635656.674302502,55531.30391091538,51909.697134116555,46.246911452398635,4299.889087677002,5620.673179626465,True
1770607190.467582,26.7,53.2,13965.55666254796,8923990.707368147,69827.7833127398,62845.00498146583,42.06434992742113,4402.029991149902,5618.326663970947,True
1770607192.458271,0.0,53.2,0.0,0.0,0.0,0.0,44.681228326180616,4378.009080886841,5557.553052902222,False
1770607194.293217,26.4,53.2,0.0,4991240.294606215,33483.275679379796,31251.057300754477,44.11548242333583,4319.282293319702,5556.711912155151,True
1770607196.418903,25.4,53.1,0.0,2024808.0168450736,39620.95126419974,37846.87881953408,47.514069333744885,4378.009080886841,5556.319952011108,True
1770607198.693794,27.8,53.1,2199.2656322187954,2109095.741297825,32988.984483281936,31889.351667172537,41.3206629004157,4391.201019287109,5502.421855926514,True
1770607200.413666,25.5,53.2,0.0,3512313.0047261524,36739.67578165432,33984.20009803024,43.02645783711084,4403.459072113037,5502.421855926514,True
1770607201.964014,26.7,53.1,0.0,4949067.066018665,36616.92922677362,32762.51562395534,47.10458363223128,4419.903993606567,5502.115964889526,True
1770607204.0706198,45.5,53.1,0.0,0.0,0.0,0.0,50.599761297591954,4408.9930057525635,5469.264030456543,False
1770607205.546748,25.6,53.1,0.0,6187864.042188028,45784.644258341905,43009.817333593914,53.850227232386885,4403.459072113037,5464.749097824097,True
1770607207.376676,26.7,53.1,0.0,4377329.029371278,39266.212041942046,37558.98543142283,43.08505406900412,4394.509077072144,5461.013078689575,True
1770607209.118219,36.4,53.2,0.0,0.0,0.0,0.0,47.466579094325866,4402.029991149902,5444.730043411255,False
1770607211.233118,25.6,53.0,0.0,4541644.437985104,41155.62657022748,39218.89120221678,49.09237139755362,4394.509077072144,5440.5341148376465,True
1770607213.2890959,26.5,53.1,0.0,3609293.7097388925,35468.68818532716,34049.94065791408,44.26117784687146,4406.235694885254,5430.400133132935,True
1770607215.261672,25.9,53.1,0.0,2794117.7622789624,44272.99271216666,40993.51177052469,45.24930269722778,4431.53190612793,5419.413089752197,True
1770607217.159778,25.0,53.1,0.0,0.0,0.0,0.0,42.427101204287176,4431.53190612793,5419.413089752197,False
1770607218.71791,26.9,53.1,0.0,6167138.863645148,47318.200999834895,44689.412055399625,54.35043548436674,4447.500944137573,5413.863897323608,True
1770607221.1091268,25.3,53.2,0.0,3134748.9046242726,33180.30594612385,31600.29137726081,44.74709362091193,4435.244798660278,5377.091884613037,True
1770607223.120665,28.0,53.2,0.0,5348685.249189338,48526.37826885488,44931.83173042118,42.308628162366944,4435.1208209991455,5373.662948608398,True
1770607225.545344,20.0,53.7,0.0,0.0,0.0,0.0,40.53964137518086,4442.995309829712,5372.27201461792,False
1770607227.357758,29.8,53.5,0.0,5103010.875359635,49154.33416256512,40114.45661542671,45.00272005518619,4486.010789871216,5413.863897323608,True
1770607229.156956,32.2,53.6,0.0,4324411.665843357,38188.66483713646,35460.90306305528,36.68301277578941,4498.6279010772705,5377.091884613037,True
1770607230.664331,27.0,53.4,5193.264418975692,4466207.400319095,85688.86291309891,68810.75355142792,51.08217922054464,4495.889902114868,5377.091884613037,True
1770607233.08586,25.5,53.4,0.0,3761708.464696044,29072.343645164317,27808.328704070216,45.301882951172054,4483.482837677002,5373.662948608398,True
1770607235.40852,28.0,53.3,0.0,0.0,0.0,0.0,39.658101408629136,4474.42102432251,5372.27201461792,False
1770607236.8616261,26.1,53.3,0.0,6012477.416202649,47214.71951307753,45100.627594581514,55.915861322807004,4501.011848449707,5369.051218032837,True
1770607238.630143,26.1,53.3,0.0,4872906.612747874,41020.94446909918,39112.993563559685,43.53930984239448,4501.011848449707,5367.975950241089,True
1770607240.219585,27.2,53.3,0.0,9198186.35881221,59658.04831776787,54234.58937978897,43.73575196915846,4523.777008056641,5366.157054901123,True
