time,cpu,mem,disk_read,disk_write,net_sent,net_recv,rps,p95,p99,gc_triggered
1770607786.858598,32.4,52.2,0.0,3046025.9313364546,35617.2333868393,34613.931037914255,41.6409666301901,4005.779027938843,5087.66508102417,True
1770607788.354348,25.8,52.2,0.0,5827369.740254366,53399.29978146623,47922.44852182867,60.83904597497781,4005.779027938843,5743.903875350952,True
1770607790.2112498,22.2,52.3,0.0,5569020.083477953,47933.662690342324,45754.85984078131,50.471584071952634,3954.150915145874,5743.903875350952,True
1770607792.1026182,31.6,52.2,0.0,0.0,0.0,0.0,42.651121117455666,3935.8110427856445,5743.903875350952,False
1770607793.626009,25.3,52.3,0.0,6305092.684959412,42347.63743629456,40331.08327266148,46.749064600392025,4089.1330242156982,5669.930934906006,True
1770607795.013203,18.2,52.4,0.0,1448849.0463568137,84425.41435537825,53106.309029995995,45.41542402411146,4208.3420753479,5635.546922683716,True
1770607797.000115,0.0,52.4,0.0,0.0,0.0,0.0,43.3092504492593,4197.671890258789,5341.883897781372,False
1770607799.079113,30.6,52.6,691533.103238436,5323425.769089043,48269.40464199909,39896.14057144823,46.630330429249256,4208.3420753479,5087.66508102417,True
1770607800.881752,22.4,52.7,0.0,5607823.639489731,49756.26402470012,43170.87613907804,58.24793514350832,4215.571880340576,5007.683992385864,True
1770607802.864366,27.8,52.7,0.0,5463950.5946114175,43030.44201520386,41199.35937625901,51.95161433464419,4197.671890258789,4844.182014465332,True
1770607804.642625,27.0,52.6,0.0,8114258.139026948,49343.46165624495,43860.85480555107,40.57765184753449,4164.781808853149,4844.182014465332,True
1770607806.870494,50.0,52.6,0.0,0.0,0.0,0.0,44.226585521549076,4208.3420753479,4697.690725326538,False
1770607808.816065,22.8,52.5,4210.588677866313,4237957.504272444,42632.21036339642,40526.916024463266,50.854275851891224,4215.571880340576,4660.185098648071,True
1770607810.5481799,25.7,52.6,0.0,4166520.8411800675,41233.24112383667,39269.75345127302,45.60898640828871,4223.682165145874,4656.067132949829,True
1770607812.38368,19.1,52.6,0.0,4820410.121035421,49835.06704077973,43039.376080673406,35.418723242625816,4233.597993850708,4660.185098648071,False
1770607813.935241,27.9,52.6,0.0,4775619.249920786,40258.81346671752,38278.87182081338,48.412565902064294,4270.954132080078,4660.185098648071,True
1770607816.311306,21.9,52.6,0.0,3011761.3743928894,36012.59921551468,34350.4792517217,48.39934902270624,4266.597747802734,4656.067132949829,True
1770607818.001599,26.2,52.6,0.0,2461497.05769684,47926.34458132476,46009.29079807177,41.51746008570893,4295.790195465088,4630.223751068115,True
1770607820.2920792,16.7,52.7,0.0,0.0,0.0,0.0,40.823826157590595,4286.327123641968,4630.223751068115,False
1770607822.382776,30.7,52.7,0.0,4390467.306754759,32326.064507565156,30366.90908286424,43.809174212186214,4345.125675201416,5087.66508102417,True
1770607824.0535831,33.3,52.8,0.0,3460470.4965975443,39775.52294939706,37063.55547557453,45.486997838003056,4366.828203201294,5204.619884490967,True
1770607825.6744692,26.6,52.8,0.0,6559446.995965002,74422.52068974377,69289.93305596833,44.194659701433125,4376.107931137085,5099.047899246216,True
1770607827.674245,25.0,52.9,0.0,0.0,0.0,0.0,38.45375861989409,4390.902996063232,5097.891092300415,False
1770607829.592275,25.1,53.0,0.0,5445588.00954654,48049.30596658711,43244.3753699284,55.88751964465064,4396.093130111694,5087.66508102417,True
1770607830.925968,26.5,53.0,0.0,2077334.8583514614,50843.86016944137,48422.723970896535,50.23644768224896,4396.093130111694,5087.66508102417,True
1770607831.926851,13.0,52.8,0.0,8184.772008057154,63431.98306244295,130956.35212891447,23.978824242354946,4393.996000289917,5007.683992385864,False
1770607832.929297,10.8,52.8,0.0,8172.0117805346235,3064.504417700484,6129.008835400968,3.9902401272141717,4393.996000289917,5007.683992385864,False
1770607833.9324632,16.0,52.8,0.0,8166.144364081621,1020.7680455102026,1020.7680455102026,0.0,4393.996000289917,5007.683992385864,False
1770607834.9352582,15.4,52.9,0.0,8169.167332496914,0.0,0.0,0.0,4393.996000289917,5007.683992385864,False
1770607835.938227,7.6,52.8,0.0,8167.75167563795,2041.9379189094875,2041.9379189094875,0.0,4393.996000289917,5007.683992385864,False
1770607836.942234,14.0,52.9,771054.3074680292,367168.7178419187,9179.217946047967,9179.217946047967,0.0,4393.996000289917,5007.683992385864,False
1770607837.945041,7.9,53.0,155212.33419930257,65352.5617681274,1021.1337776269906,1021.1337776269906,0.0,4393.996000289917,5007.683992385864,False
1770607838.949648,11.1,53.0,191629.171649033,1312863.6866167793,0.0,0.0,0.0,4393.996000289917,5007.683992385864,False
1770607839.954271,11.3,53.0,40771.50620536133,16308.602482144532,1019.2876551340332,1019.2876551340332,0.0,4393.996000289917,5007.683992385864,False
1770607840.9617212,9.2,52.9,16262.840153428475,24394.260230142714,0.0,1016.4275095892797,0.0,4393.996000289917,5007.683992385864,False
